query,old_page,current_page,old_clicks_28d,current_clicks_28d,old_impressions_28d,current_impressions_28d,old_position_28d,current_position_28d,ctr_change_percentage_points,clicks_7d,impressions_7d,position_7d,probable_cause,target_page,required_action,priority,pre_migration_data,source_window,checked_at
hair fall treatment doctor,,,0,0,3,5,4.67,3.4,0,0,1,8,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
scalp treatment near me,,,0,0,1,5,10,5,0,0,1,9,MONITOR,/concerns/hair-loss-scalp/dandruff,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair loss treatment near me,,,0,0,4,5,8,4,0,0,1,10,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
how many prp sessions are needed for hair growth,,,0,0,12,5,9.92,1,0,,,,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
how gfc treatment works,,,0,0,0,5,0,4.2,0,,,,NEW_QUERY_DISCOVERY,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
gfc hair treatment process,,,0,0,16,5,4.19,4.6,0,,,,MONITOR,/treatments/hair-restoration/prp-gfc-scalp-therapy,Strengthen the existing PRP and GFC treatment page with related guides and doctor video context; do not create synonym pages.,P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
wig shop near me,,,0,0,8,5,7.12,5.6,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair care centre near me,,,0,0,5,5,6.4,6.6,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair loss treatment for women near me,,,0,0,1,5,9,7,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
scalp test near me,,,0,0,1,5,9,10.4,0,,,,MONITOR,/concerns/hair-loss-scalp/dandruff,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair solution near me,,,0,0,0,5,0,11.4,0,,,,NEW_QUERY_DISCOVERY,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
hair regain treatment,,,0,0,1,5,15,15.6,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
bio fue technique,,,0,0,2,5,23,19.4,0,,,,MONITOR,/treatments/hair-restoration/fue-hair-transplant,"Strengthen the existing hair transplant owner with relevant internal links, results and decision content; do not create a keyword-variant URL.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
plasma hair treatment near me,,,0,0,26,5,23.15,21.8,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
can laser hair removal be permanent,,,0,0,18,5,33.11,30.6,0,,,,MONITOR,/hair-loss-clinic-bhubaneswar,"Strengthen the existing hair-loss owner with concern, guide and doctor-answer links; use URL Inspection only for a confirmed indexation question.",P2,No direct migration-period export available in current authenticated GSC session,Authenticated Google Search Console Performance UI: last 7 days and last 28 complete days compared with previous 28 complete days. Exact migration-period API export is unavailable in the current property session.,2026-09-24
